Wall time,Step,Value,Exp Wall time, Exp Step,Exp Value
1674087922,1740,0.284913212,1714608900,3239,0.766543984
1674087965,3409,0.253191769,1714608944,6220,0.796945691
1674088006,4980,0.216935039,1714608996,9798,0.947090805
1674088045,6426,0.308796823,1714609055,13703,0.998106003
1674088086,7892,0.144878283,1714609110,17479,0.955269694
1674088126,9293,0.181818157,1714609165,21143,0.913771927
1674088167,10816,0.191701636,1714609229,25507,1.121934414
1674088211,12369,0.20607692,1714609289,29501,1.111534357
1674088251,13859,0.167882591,1714609360,34350,1.273433566
1674088295,15488,0.327045351,1714609448,40305,1.371643662
1674088337,17093,0.147998273,1714609584,49504,1.493362904
1674088381,18695,0.194784373,1714609737,59679,1.005679369
1674088427,20414,0.180925444,1714609908,71177,1.139992952
1674088490,22649,0.311416358,1714610143,86971,0.93478179
1674088557,25142,0.333766222,1714610315,98539,0.94232595
1674088608,27026,0.185232297,1714610448,107554,0.778751493
1674088660,28941,0.185846046,1714610635,120432,0.860115588
1674088739,31723,0.348678738,1714610799,131586,0.73267293
1674088821,34678,0.28425765,1714610989,144581,0.970460415
1674088918,38117,0.325077087,1714611171,156877,0.645123124
1674089011,41436,0.321693599,1714611310,166431,0.736949205
1674089098,44482,0.276731461,1714611469,177225,0.818535626
1674089200,48117,0.395623714,1714611622,187675,0.676484823
1674089311,52072,0.401906073,1714611759,196911,0.544230223
1674089405,55461,0.358801514,1714611891,205987,0.615389884
1674089511,59301,0.440009773,1714612043,216227,0.614887834
1674089601,62893,0.553934872,1714612177,225405,0.573159873
1674089697,66665,0.446350813,1714612310,234451,0.498422831
1674089740,68400,0.370902687,1714612420,241981,0.581479013
1674089784,70153,0.355917245,1714612575,252445,0.559473574
1674089842,72458,0.330664784,1714612699,260896,0.478008956
1674089956,76684,0.450809538,1714612827,269565,0.446797699
1674090058,80307,0.26289019,1714612939,277269,0.54236573
1674090167,84041,0.273710549,1714613051,284884,0.405326039
1674090268,87600,0.241443157,1714613172,293117,0.479608059
1674090376,91361,0.252870262,1714613294,301340,0.458198726
1674090476,94899,0.251318216,1714613404,308856,0.421061188
1674090577,98390,0.289969563,1714613517,316496,0.429546952
1674090673,101817,0.281792134,1714613618,323365,0.365842342
1674090775,105262,0.262198746,1714613703,329155,0.433593124
1674090881,108915,0.269769847,1714613808,336366,0.318535984
1674090990,112699,0.252969265,1714613921,343989,0.369452834
1674091092,116274,0.249327362,1714614027,351210,0.336920142
1674091209,120331,0.249112025,1714614138,358723,0.451921642
1674091312,123995,0.308087587,1714614232,365221,0.371015847
1674091374,126315,0.431147277,1714614332,371944,0.393051386
1674091456,129492,0.451839179,1714614431,378758,0.539190114
1674091505,131108,0.473605514,1714614538,386016,0.536982298
1674091554,132790,0.465807557,1714614660,394372,0.503507376
1674091604,134490,0.443191051,1714614776,402239,0.412253082
1674091669,136662,0.434308648,1714614876,409101,0.335550219
1674091741,139014,0.454184771,1714614970,415493,0.326491952
1674091808,141223,0.455046296,1714615050,421050,0.302776366
1674091879,143573,0.451091081,1714615144,427465,0.321631849
1674091981,146878,0.390744656,1714615250,434694,0.364703149
1674092081,150048,0.405294389,1714615365,442552,0.414664149
1674092228,155467,0.353040248,1714615480,450632,0.326518536
1674092341,159545,0.34692812,1714615561,456351,0.324689865
1674092465,164341,0.278000563,1714615599,459092,0.177379116
1674092593,169284,0.335089117,1714615641,462100,0.187137932
1674092638,171108,0.175352454,1714615765,470325,0.30985564
1674092728,174529,0.379216433,1714615949,482571,0.401057601
1674092849,179144,0.345136076,1714616054,489881,0.282001317
1674092960,183408,0.201492757,1714616097,492900,0.277632713
1674093127,189821,0.209076881,1714616200,500185,0.261769712
1674093252,194440,0.342116624,1714616365,510877,0.447279185
1674093392,199719,0.287555784,1714616489,519248,0.37534824
1674093677,210320,0.261805415,1714616693,533166,0.309123814
1674093800,215153,0.292801648,1714616844,543332,0.368041545
1674093966,221156,0.30760023,1714616932,549441,0.197773308
1674094087,225394,0.306308538,1714617068,558537,0.298806012
1674094201,229257,0.340874791,1714617191,567235,0.235900655
1674094315,233203,0.355039179,1714617385,580610,0.293098062
1674094410,236961,0.19617258,1714617505,588998,0.221906736
1674094634,244901,0.269598842,1714617677,600724,0.368102044
1674094866,252850,0.29066956,1714617874,613783,0.367054403
1674095100,260928,0.322189122,1714618161,633289,0.350858957
1674095234,265717,0.200790018,1714618312,643394,0.370800585
1674095407,271902,0.367566228,1714618568,660700,0.329871237
1674095638,279920,0.286726922,1714618761,673667,0.343352437
1674095855,287432,0.230077043,1714618888,682316,0.374670208
1674096158,297607,0.361902595,1714619147,700040,0.238273844
1674096305,302874,0.37217468,1714619284,709227,0.321535617
1674096413,306477,0.323528409,1714619503,724186,0.265572399
1674096655,314958,0.32318306,1714619562,728296,0.416963428
1674096882,322952,0.273670524,1714619761,741802,0.291205317
1674097173,333463,0.307487816,1714619981,756821,0.244714409
1674097702,352560,0.303661972,1714620403,785664,0.255731434
1674098024,364518,0.250525951,1714620658,803326,0.291002303
1674098307,374961,0.256471664,1714620929,821919,0.34539336
1674098589,385037,0.249322265,1714621078,832261,0.382305324
1674098780,391424,0.305866331,1714621442,857170,0.279153258
1674098938,396713,0.343907565,1714622112,880834,0.252191544
1674099192,405453,0.320981413,1714622446,903142,0.262951195
1674099482,415349,0.269371361,1714622914,934588,0.261707574
1674099819,426034,0.246107012,1714623241,956507,0.212691903
1674100216,439092,0.260000676,1714623468,971897,0.274371207
1674100455,447109,0.300574571,1714623765,991774,0.260170192
1674100784,458511,0.300289333,1714624036,1009861,0.339565217
1674101380,478700,0.252404958,1714624359,1031398,0.223010674
1674101944,498370,0.25730747,1714624700,1054362,0.259937376
1674102340,511996,0.279825807,1714625218,1089156,0.208583578
1674102595,520926,0.33833769,1714625552,1111625,0.298511982
1674102952,533336,0.249507636,1714625896,1135085,0.278153598
1674103192,541211,0.347458154,1714626178,1154299,0.278945863
1674103505,551182,0.289000392,1714626581,1181392,0.21784924
1674103767,559619,0.22986868,1714626841,1198810,0.285291553
1674104010,567390,0.254486978,1714627179,1221683,0.24452211
1674104565,585029,0.279414117,1714627447,1240027,0.193120047
1674104707,589506,0.358320773,1714627566,1248114,0.332909077
1674105207,605630,0.329872131,1714627867,1268334,0.272386044
1674105449,613543,0.267921865,1714628333,1300318,0.19446817
1674105889,628166,0.246880338,1714628666,1323364,0.167150065
1674106341,643030,0.262669116,1714629113,1354173,0.210134819
1674106808,658523,0.254086107,1714629400,1374106,0.286946088
1674107225,671666,0.261742026,1714629735,1397435,0.214633375
1674107583,683396,0.277058542,1714629964,1413266,0.185092211
1674109762,682707,0.275730491,1714630339,1439060,0.183819726
1674110214,699256,0.234834477,1714630619,1458341,0.199097931
1674110344,704280,0.253598243,1714630991,1483908,0.205320612
1674110477,709267,0.228796214,1714631353,1508855,0.163041309
1674110886,724707,0.23091431,1714631676,1530988,0.215887278
1674111405,743986,0.274078906,1714632030,1555278,0.419600397
1674111979,765687,0.255613685,1714632325,1575320,0.327676892
1674112409,781358,0.246836886,1714632737,1603576,0.244306549
1674112863,798299,0.25024724,1714633040,1624355,0.27802974
1674113268,813213,0.252231628,1714633273,1640297,0.255587339
1674113863,835417,0.231855392,1714633516,1656889,0.212187678
1674114316,852175,0.215511531,1714633857,1680363,0.21567966
1674115012,878319,0.230679706,,,
1674115497,895893,0.253794044,,,
1674115853,909233,0.240505189,,,
1674116489,932593,0.263984293,,,
1674116868,946752,0.21881029,,,
1674117313,963374,0.197683066,,,
1674117811,982069,0.236532077,,,
1674118242,997867,0.251493692,,,
1674118890,1022049,0.203761369,,,
1674119495,1044336,0.26636368,,,
1674119996,1063133,0.20033662,,,
1674120200,1070659,0.218489364,,,
1674120582,1085048,0.229773253,,,
1674120878,1096049,0.203141421,,,
1674121117,1104986,0.249721661,,,
1674121476,1118238,0.18758142,,,
1674121929,1135290,0.208617687,,,
1674122236,1146538,0.217544615,,,
1674122492,1156049,0.248998418,,,
1674123059,1176964,0.216266707,,,
1674123307,1186315,0.255837739,,,
1674123561,1195702,0.249978632,,,
1674123734,1202199,0.252483249,,,
1674124100,1215745,0.216143906,,,
1674124671,1237188,0.231214136,,,
1674125196,1256446,0.225412846,,,
1674125645,1273235,0.252914548,,,
1674126259,1295835,0.201995492,,,
1674158243,1314502,0.188219711,,,
1674158714,1335432,0.155288354,,,
1674159291,1361407,0.201832414,,,
1674175109,1363512,0.269280553,,,
1674175640,1382563,0.263808399,,,
1674176017,1396288,0.151752576,,,
1674176722,1421492,0.160658523,,,
1674177334,1443730,0.178928256,,,
1674178077,1470320,0.16202046,,,
1674178674,1491901,0.177985027,,,
1674179217,1511249,0.180127248,,,
1674179834,1533447,0.172872633,,,
1674180363,1552385,0.173193872,,,
1674181076,1578153,0.198902845,,,
1674181922,1608387,0.160358027,,,
1674182323,1622950,0.234410927,,,
1674182877,1642834,0.233138546,,,
1674183430,1662721,0.218277916,,,
1674183761,1674219,0.166331097,,,
1674184311,1693617,0.158416018,,,
1674184861,1712551,0.15037398,,,
1674185593,1737991,0.167379111,,,
1674186304,1762395,0.195022568,,,
1674186711,1776647,0.228486761,,,
1674187125,1790916,0.253575206,,,
1674187721,1812247,0.165521756,,,
1674188405,1836378,0.161450624,,,
1674189145,1862819,0.155698493,,,
1674189936,1890818,0.170203865,,,
1674249998,1925268,0.147497147,,,
1674250713,1953989,0.161762491,,,
1674251057,1967933,0.207902223,,,
1674251569,1988477,0.243400753,,,
