Wall time,Step,Training Value,Validation Value,Exp Wall time,Exp Training Value,Exp Validation Value
1667689011,1,2153.726807,1223.653687,1714695263,2074.108887,1130.476929
1667689066,2,1044.879028,958.6169434,1714695281,1018.886169,932.3016357
1667689119,3,912.1815186,871.3835449,1714695298,896.5084839,851.1138916
1667689173,4,836.9885864,799.6793213,1714695315,826.1806641,792.9919434
1667689226,5,782.7492065,758.6600342,1714695332,777.0172729,755.5038452
1667689279,6,745.0791016,727.6342163,1714695350,744.0715942,725.0820923
1667689333,7,718.5838623,703.428833,1714695367,720.303772,700.7438965
1667689386,8,699.0230103,687.1246948,1714695384,698.4105835,683.1148071
1667689440,9,682.9589233,672.6798706,1714695401,682.1013184,668.1009521
1667689493,10,668.0901489,656.6435547,1714695419,667.0866699,655.5250244
1667689546,11,655.9697876,646.5606689,1714695436,656.1572876,643.7927856
1667689599,12,645.7827148,642.5856934,1714695453,644.763916,633.0906982
1667689653,13,635.5744019,630.0383301,1714695470,634.8856201,622.5383911
1667689706,14,629.0054321,618.4611816,1714695488,626.2200928,615.1564331
1667689760,15,619.1412964,612.4790039,1714695505,618.0542603,606.7675781
1667689813,16,611.5994263,604.2089233,1714695522,611.140686,600.5515137
1667689867,17,604.3908691,599.9733276,1714695539,603.5512085,594.4420776
1667689920,18,598.3391724,592.5146484,1714695556,597.5406494,589.0805664
1667689974,19,593.291687,588.7321167,1714695574,592.5361938,582.4945068
1667690027,20,587.6787109,581.9650269,1714695591,587.3944702,577.8552856
1667690081,21,581.3362427,577.0786743,1714695608,581.418457,574.0772095
1667690134,22,576.9275513,573.5286865,1714695625,576.4605103,569.6022949
1667690188,23,572.6461182,568.3335571,1714695643,572.4041748,565.2823486
1667690242,24,568.182312,566.8870239,1714695660,568.4645386,560.9268799
1667690295,25,563.7231445,561.1724243,1714695677,564.5613403,558.3598633
1667690349,26,560.5646362,560.7753906,1714695695,560.6223145,551.3013916
1667690402,27,556.7809448,555.0960083,1714695712,556.9754028,550.9369507
1667690456,28,553.2596436,550.925415,1714695729,554.0281372,548.4910889
1667690509,29,549.6467285,545.913147,1714695746,551.0588379,541.8965454
1667690561,30,546.8387451,543.87146,1714695764,546.9683838,540.7249756
1667690613,31,542.8719482,540.9072266,1714695781,544.1997681,536.4467773
1667690665,32,540.4924927,538.0177612,1714695798,541.302063,530.6101074
1667690717,33,538.1291504,538.2817993,1714695815,538.2058105,533.5465698
1667690769,34,535.3861084,537.8772583,1714695832,535.8583984,527.8115845
1667690821,35,533.1758423,530.4525757,1714695850,533.6333008,524.2490234
1667690874,36,531.4769897,528.0739746,1714695867,530.5893555,522.2703857
1667690926,37,528.4109497,526.7351685,1714695884,529.1611328,520.8156738
1667690978,38,525.9880981,522.1043091,1714695901,526.5126343,521.756897
1667691030,39,523.6021118,521.2310181,1714695918,524.4983521,516.8181152
1667691084,40,521.409729,520.9487915,1714695935,522.538269,513.8712769
1667691137,41,518.6299438,518.875,1714695953,520.2446899,515.7391968
1667691190,42,517.5915527,515.355896,1714695970,518.8703003,511.1346741
1667691244,43,515.2561646,512.5855103,1714695987,516.6760864,510.5423584
1667691297,44,513.3969116,510.9735107,1714696004,514.5667725,508.4325867
1667691350,45,512.383728,508.8879395,1714696022,512.6063843,507.2731018
1667691404,46,510.2163086,508.0994263,1714696039,511.4599609,504.1089172
1667691457,47,509.0007935,506.3553162,1714696056,509.743927,501.7616882
1667691510,48,506.3970947,503.322998,1714696073,507.7894897,501.6057434
1667691563,49,505.0545959,504.3207092,1714696091,506.1846008,499.2631836
1667691616,50,503.6066895,501.0523376,1714696108,505.6701965,499.4957886
